date,transport_type,ridership,year
2020-08-09,ferry,14244.0,2020
2020-08-10,ferry,19639.0,2020
2020-08-11,ferry,19349.0,2020
2020-08-12,ferry,18417.0,2020
2020-08-13,ferry,18267.0,2020
2020-08-14,ferry,22251.0,2020
2020-08-15,ferry,17361.0,2020
2020-08-16,ferry,11180.0,2020
2020-08-17,ferry,20942.0,2020
2020-08-18,ferry,22089.0,2020
2020-08-19,ferry,21698.0,2020
2020-08-20,ferry,23392.0,2020
2020-08-21,ferry,23806.0,2020
2020-08-22,ferry,18510.0,2020
2020-08-23,ferry,15715.0,2020
2020-08-24,ferry,23632.0,2020
2020-08-25,ferry,20415.0,2020
2020-08-26,ferry,22853.0,2020
2020-08-27,ferry,21208.0,2020
2020-08-28,ferry,21933.0,2020
2020-08-29,ferry,14141.0,2020
2020-08-30,ferry,17627.0,2020
2020-08-31,ferry,21099.0,2020
2020-09-01,ferry,21106.0,2020
2020-09-02,ferry,20087.0,2020
2020-09-03,ferry,21792.0,2020
2020-09-04,ferry,23190.0,2020
2020-09-05,ferry,20494.0,2020
2020-09-06,ferry,19352.0,2020
2020-09-07,ferry,17444.0,2020
2020-09-08,ferry,22289.0,2020
2020-09-09,ferry,22506.0,2020
2020-09-10,ferry,19698.0,2020
2020-09-11,ferry,24365.0,2020
2020-09-12,ferry,20029.0,2020
2020-09-13,ferry,15437.0,2020
2020-09-14,ferry,21469.0,2020
2020-09-15,ferry,22541.0,2020
2020-09-16,ferry,21849.0,2020
2020-09-17,ferry,22260.0,2020
2020-09-18,ferry,23160.0,2020
2020-09-19,ferry,19172.0,2020
2020-09-20,ferry,15188.0,2020
2020-09-21,ferry,21782.0,2020
2020-09-22,ferry,22293.0,2020
2020-09-23,ferry,22745.0,2020
2020-09-24,ferry,22459.0,2020
2020-09-25,ferry,23654.0,2020
2020-09-26,ferry,19793.0,2020
2020-09-27,ferry,16137.0,2020
2020-09-28,ferry,22055.0,2020
2020-09-29,ferry,21077.0,2020
2020-09-30,ferry,21671.0,2020
2020-10-01,ferry,23327.0,2020
2020-10-02,ferry,23174.0,2020
2020-10-03,ferry,20690.0,2020
2020-10-04,ferry,15697.0,2020
2020-10-05,ferry,23829.0,2020
2020-10-06,ferry,24783.0,2020
2020-10-07,ferry,23707.0,2020
2020-10-08,ferry,23944.0,2020
2020-10-09,ferry,23986.0,2020
2020-10-10,ferry,21236.0,2020
2020-10-11,ferry,15975.0,2020
2020-10-12,ferry,15842.0,2020
2020-10-13,ferry,21202.0,2020
2020-10-14,ferry,23751.0,2020
2020-10-15,ferry,24028.0,2020
2020-10-16,ferry,20125.0,2020
2020-10-17,ferry,19792.0,2020
2020-10-18,ferry,15738.0,2020
