date,ridership,transport_type,year
2020-10-05,1678792.0,subway,2020
2020-10-06,1758454.0,subway,2020
2020-10-07,1770617.0,subway,2020
2020-10-08,1798005.0,subway,2020
2020-10-09,1808079.0,subway,2020
2020-10-10,1170227.0,subway,2020
2020-10-11,848469.0,subway,2020
2020-10-12,1284655.0,subway,2020
2020-10-13,1715183.0,subway,2020
2020-10-14,1838682.0,subway,2020
2020-10-15,1853753.0,subway,2020
2020-10-16,1671320.0,subway,2020
2020-10-17,1209473.0,subway,2020
2020-10-18,896812.0,subway,2020
2020-10-19,1719153.0,subway,2020
2020-10-20,1780231.0,subway,2020
2020-10-21,1812949.0,subway,2020
2020-10-22,1825208.0,subway,2020
2020-10-23,1842588.0,subway,2020
2020-10-24,1185612.0,subway,2020
2020-10-25,885001.0,subway,2020
2020-10-26,1690651.0,subway,2020
2020-10-27,1815242.0,subway,2020
2020-10-28,1819352.0,subway,2020
2020-10-29,1705072.0,subway,2020
2020-10-30,1768018.0,subway,2020
2020-10-31,1174059.0,subway,2020
2020-11-01,786675.0,subway,2020
2020-11-02,1747908.0,subway,2020
2020-11-03,1602912.0,subway,2020
2020-11-04,1690489.0,subway,2020
2020-11-05,1793796.0,subway,2020
2020-11-06,1837314.0,subway,2020
2020-11-07,1246321.0,subway,2020
2020-11-08,927670.0,subway,2020
2020-11-09,1752614.0,subway,2020
2020-11-10,1836902.0,subway,2020
2020-11-11,1614812.0,subway,2020
2020-11-12,1776666.0,subway,2020
2020-11-13,1816693.0,subway,2020
2020-11-14,1215477.0,subway,2020
2020-11-15,820858.0,subway,2020
2020-11-16,1741750.0,subway,2020
2020-11-17,1788847.0,subway,2020
2020-11-18,1787688.0,subway,2020
2020-11-19,1757535.0,subway,2020
2020-11-20,1800423.0,subway,2020
2020-11-21,1157957.0,subway,2020
2020-11-22,817963.0,subway,2020
2020-11-23,1646525.0,subway,2020
2020-11-24,1735702.0,subway,2020
2020-11-25,1688227.0,subway,2020
2020-11-26,652276.0,subway,2020
2020-11-27,1263473.0,subway,2020
2020-11-28,1032823.0,subway,2020
2020-11-29,826974.0,subway,2020
2020-11-30,1459131.0,subway,2020
2020-12-01,1706348.0,subway,2020
2020-12-02,1699968.0,subway,2020
2020-12-03,1736045.0,subway,2020
2020-12-04,1701628.0,subway,2020
2020-12-05,1000240.0,subway,2020
2020-12-06,878393.0,subway,2020
2020-12-07,1656627.0,subway,2020
2020-12-08,1540893.0,subway,2020
2020-12-09,1701926.0,subway,2020
2020-12-10,1761336.0,subway,2020
2020-12-11,1786290.0,subway,2020
2020-12-12,1091352.0,subway,2020
2020-12-13,911439.0,subway,2020
2020-12-14,1584089.0,subway,2020
2020-12-15,1783388.0,subway,2020
2020-12-16,1569079.0,subway,2020
2020-12-17,1079818.0,subway,2020
2020-12-18,1735664.0,subway,2020
2020-12-19,1112827.0,subway,2020
2020-12-20,821265.0,subway,2020
2020-12-21,1716035.0,subway,2020
2020-12-22,1760948.0,subway,2020
2020-12-23,1772537.0,subway,2020
2020-12-24,1312480.0,subway,2020
2020-12-25,485208.0,subway,2020
2020-12-26,879170.0,subway,2020
2020-12-27,760350.0,subway,2020
2020-12-28,1510168.0,subway,2020
2020-12-29,1555198.0,subway,2020
2020-12-30,1582486.0,subway,2020
2020-12-31,1274984.0,subway,2020
2021-01-01,613692.0,subway,2021
2021-01-02,988418.0,subway,2021
2021-01-03,653187.0,subway,2021
2021-01-04,1557977.0,subway,2021
2021-01-05,1597518.0,subway,2021
2021-01-06,1613629.0,subway,2021
2021-01-07,1611099.0,subway,2021
2021-01-08,1619242.0,subway,2021
2021-01-09,990412.0,subway,2021
2021-01-10,763097.0,subway,2021
2021-01-11,1568207.0,subway,2021
2021-01-12,1640428.0,subway,2021
2021-01-13,1641652.0,subway,2021
2021-01-14,1647396.0,subway,2021
2021-01-15,1627120.0,subway,2021
2021-01-16,991500.0,subway,2021
2021-01-17,797654.0,subway,2021
2021-01-18,1276978.0,subway,2021
2021-01-19,1635915.0,subway,2021
2021-01-20,1575075.0,subway,2021
2021-01-21,1652842.0,subway,2021
2021-01-22,1672001.0,subway,2021
2021-01-23,997551.0,subway,2021
2021-01-24,741139.0,subway,2021
2021-01-25,1592468.0,subway,2021
2021-01-26,1550953.0,subway,2021
2021-01-27,1660278.0,subway,2021
2021-01-28,1646806.0,subway,2021
2021-01-29,1511680.0,subway,2021
2021-01-30,942615.0,subway,2021
2021-01-31,722853.0,subway,2021
2021-02-01,583230.0,subway,2021
2021-02-02,1005985.0,subway,2021
2021-02-03,1702598.0,subway,2021
2021-02-04,1785833.0,subway,2021
2021-02-05,1741015.0,subway,2021
2021-02-06,1148477.0,subway,2021
2021-02-07,652521.0,subway,2021
2021-02-08,1639753.0,subway,2021
2021-02-09,1666467.0,subway,2021
2021-02-10,1750121.0,subway,2021
2021-02-11,1714656.0,subway,2021
2021-02-12,1706430.0,subway,2021
2021-02-13,1092063.0,subway,2021
2021-02-14,858014.0,subway,2021
2021-02-15,1218593.0,subway,2021
2021-02-16,1627528.0,subway,2021
2021-02-17,1733160.0,subway,2021
2021-02-18,1381886.0,subway,2021
2021-02-19,1566021.0,subway,2021
2021-02-20,1110589.0,subway,2021
2021-02-21,836095.0,subway,2021
2021-02-22,1582054.0,subway,2021
2021-02-23,1730198.0,subway,2021
2021-02-24,1806306.0,subway,2021
2021-02-25,1798165.0,subway,2021
2021-02-26,1822812.0,subway,2021
2021-02-27,1072932.0,subway,2021
2021-02-28,810071.0,subway,2021
2021-03-01,1696274.0,subway,2021
2021-03-02,1749511.0,subway,2021
2021-03-03,1846431.0,subway,2021
2021-03-04,1808744.0,subway,2021
2021-03-05,1825915.0,subway,2021
2021-03-06,1167884.0,subway,2021
2021-03-07,894119.0,subway,2021
2021-03-08,1719586.0,subway,2021
2021-03-09,1834068.0,subway,2021
2021-03-10,1849077.0,subway,2021
2021-03-11,1881902.0,subway,2021
2021-03-12,1914465.0,subway,2021
2021-03-13,1257372.0,subway,2021
2021-03-14,923968.0,subway,2021
2021-03-15,1730024.0,subway,2021
2021-03-16,1798288.0,subway,2021
2021-03-17,1866414.0,subway,2021
2021-03-18,1771092.0,subway,2021
2021-03-19,1906749.0,subway,2021
2021-03-20,1307403.0,subway,2021
2021-03-21,1013386.0,subway,2021
2021-03-22,1801438.0,subway,2021
2021-03-23,1879574.0,subway,2021
2021-03-24,1828084.0,subway,2021
2021-03-25,1925768.0,subway,2021
2021-03-26,1938246.0,subway,2021
2021-03-27,1374266.0,subway,2021
2021-03-28,807247.0,subway,2021
2021-03-29,1742162.0,subway,2021
2021-03-30,1881537.0,subway,2021
2021-03-31,1808546.0,subway,2021
2021-04-01,1841815.0,subway,2021
2021-04-02,1757698.0,subway,2021
2021-04-03,1318461.0,subway,2021
2021-04-04,950194.0,subway,2021
2021-04-05,1818703.0,subway,2021
2021-04-06,1942198.0,subway,2021
2021-04-07,1985370.0,subway,2021
2021-04-08,2013413.0,subway,2021
2021-04-09,2026724.0,subway,2021
2021-04-10,1391245.0,subway,2021
2021-04-11,899646.0,subway,2021
2021-04-12,1845836.0,subway,2021
2021-04-13,2012153.0,subway,2021
2021-04-14,2018126.0,subway,2021
2021-04-15,1906733.0,subway,2021
2021-04-16,2078856.0,subway,2021
2021-04-17,1425036.0,subway,2021
2021-04-18,1082503.0,subway,2021
2021-04-19,1911326.0,subway,2021
2021-04-20,2082495.0,subway,2021
2021-04-21,1965922.0,subway,2021
2021-04-22,2040232.0,subway,2021
2021-04-23,2121350.0,subway,2021
2021-04-24,1520057.0,subway,2021
2021-04-25,985027.0,subway,2021
2021-04-26,1955370.0,subway,2021
2021-04-27,2041698.0,subway,2021
2021-04-28,2135793.0,subway,2021
2021-04-29,2028524.0,subway,2021
2021-04-30,2159476.0,subway,2021
2021-05-01,1515211.0,subway,2021
2021-05-02,1153471.0,subway,2021
2021-05-03,1971010.0,subway,2021
2021-05-04,2120071.0,subway,2021
2021-05-05,2074543.0,subway,2021
2021-05-06,2199943.0,subway,2021
2021-05-07,2238033.0,subway,2021
2021-05-08,1444674.0,subway,2021
2021-05-09,1107878.0,subway,2021
2021-05-10,1990039.0,subway,2021
2021-05-11,2148322.0,subway,2021
2021-05-12,2182277.0,subway,2021
2021-05-13,2163052.0,subway,2021
2021-05-14,2266974.0,subway,2021
2021-05-15,1637231.0,subway,2021
2021-05-16,1201904.0,subway,2021
2021-05-17,2022584.0,subway,2021
2021-05-18,2150049.0,subway,2021
2021-05-19,2257549.0,subway,2021
2021-05-20,2269471.0,subway,2021
2021-05-21,2331876.0,subway,2021
2021-05-22,1645268.0,subway,2021
2021-05-23,1268928.0,subway,2021
2021-05-24,2118877.0,subway,2021
2021-05-25,2270945.0,subway,2021
2021-05-26,2275882.0,subway,2021
2021-05-27,2352019.0,subway,2021
2021-05-28,2232599.0,subway,2021
2021-05-29,1370135.0,subway,2021
2021-05-30,1065176.0,subway,2021
2021-05-31,1389651.0,subway,2021
2021-06-01,2258831.0,subway,2021
2021-06-02,2343745.0,subway,2021
2021-06-03,2233917.0,subway,2021
2021-06-04,2310032.0,subway,2021
2021-06-05,1792204.0,subway,2021
2021-06-06,1363344.0,subway,2021
2021-06-07,2223265.0,subway,2021
2021-06-08,2265591.0,subway,2021
2021-06-09,2386026.0,subway,2021
2021-06-10,2473818.0,subway,2021
2021-06-11,2468258.0,subway,2021
2021-06-12,1775538.0,subway,2021
2021-06-13,1379959.0,subway,2021
2021-06-14,2223186.0,subway,2021
2021-06-15,2469785.0,subway,2021
2021-06-16,2519444.0,subway,2021
2021-06-17,2552497.0,subway,2021
2021-06-18,2572013.0,subway,2021
2021-06-19,1784312.0,subway,2021
2021-06-20,1389352.0,subway,2021
2021-06-21,2264368.0,subway,2021
2021-06-22,2354873.0,subway,2021
2021-06-23,2547416.0,subway,2021
2021-06-24,2552639.0,subway,2021
2021-06-25,2582713.0,subway,2021
2021-06-26,1854179.0,subway,2021
2021-06-27,1559967.0,subway,2021
2021-06-28,2252362.0,subway,2021
2021-06-29,2343739.0,subway,2021
2021-06-30,2346388.0,subway,2021
2021-07-01,2292461.0,subway,2021
2021-07-02,2296044.0,subway,2021
2021-07-03,1541988.0,subway,2021
2021-07-04,1468510.0,subway,2021
2021-07-05,1495709.0,subway,2021
2021-07-06,2302002.0,subway,2021
2021-07-07,2437064.0,subway,2021
2021-07-08,2364250.0,subway,2021
2021-07-09,2318387.0,subway,2021
2021-07-10,1781717.0,subway,2021
2021-07-11,1365854.0,subway,2021
2021-07-12,2245412.0,subway,2021
2021-07-13,2457526.0,subway,2021
2021-07-14,2517615.0,subway,2021
2021-07-15,2581582.0,subway,2021
2021-07-16,2536569.0,subway,2021
2021-07-17,1717480.0,subway,2021
2021-07-18,1405344.0,subway,2021
2021-07-19,2327756.0,subway,2021
2021-07-20,2462002.0,subway,2021
2021-07-21,2504568.0,subway,2021
2021-07-22,2582151.0,subway,2021
2021-07-23,2552330.0,subway,2021
2021-07-24,1852402.0,subway,2021
2021-07-25,1364830.0,subway,2021
2021-07-26,2318455.0,subway,2021
2021-07-27,2487947.0,subway,2021
2021-07-28,2534756.0,subway,2021
2021-07-29,2428764.0,subway,2021
2021-07-30,2557677.0,subway,2021
2021-07-31,1841007.0,subway,2021
2021-08-01,1351294.0,subway,2021
2021-08-02,2333923.0,subway,2021
2021-08-03,2483802.0,subway,2021
2021-08-04,2529002.0,subway,2021
2021-08-05,2529190.0,subway,2021
2021-08-06,2519444.0,subway,2021
2021-08-07,1780458.0,subway,2021
2021-08-08,1333885.0,subway,2021
2021-08-09,2289434.0,subway,2021
2021-08-10,2442194.0,subway,2021
2021-08-11,2475949.0,subway,2021
2021-08-12,2448589.0,subway,2021
2021-08-13,2430102.0,subway,2021
2021-08-14,1718222.0,subway,2021
2021-08-15,1430620.0,subway,2021
2021-08-16,2287627.0,subway,2021
2021-08-17,2427611.0,subway,2021
2021-08-18,2445638.0,subway,2021
2021-08-19,2439624.0,subway,2021
2021-08-20,2456334.0,subway,2021
2021-08-21,1715030.0,subway,2021
2021-08-22,745240.0,subway,2021
2021-08-23,2052669.0,subway,2021
2021-08-24,2462365.0,subway,2021
2021-08-25,2498255.0,subway,2021
2021-08-26,2480137.0,subway,2021
2021-08-27,2388210.0,subway,2021
2021-08-28,1659434.0,subway,2021
2021-08-29,1398566.0,subway,2021
2021-08-30,2321000.0,subway,2021
2021-08-31,2532584.0,subway,2021
2021-09-01,2294448.0,subway,2021
2021-09-02,1661558.0,subway,2021
2021-09-03,2390392.0,subway,2021
2021-09-04,1777639.0,subway,2021
2021-09-05,1415352.0,subway,2021
2021-09-06,1521388.0,subway,2021
2021-09-07,2233674.0,subway,2021
2021-09-08,2529619.0,subway,2021
2021-09-09,2702713.0,subway,2021
